Review,Predicted Label
"The channels Integration sucks. WWE shows from SonyLiv channel doesn't have any identification. How are we supposed to find which show aired on which date and even if we are able to find the latest episode we have to wait till the next day it was aired only then it's playable, on the day it's aired if we try to open it says technical issue.",Channels-Quality
I don't know hou it is.,Channels-Quality
नेटफ्लिक्स जितना अच्छा नहीं है क्योंकि इंग्लिश मूवी हिंदी में डब करके दिखाते हैं,Application-Nice
Excellent 😊,Application-Nice
Video quality is poor. Download options should be available for each and every videos. Only a very few videos can be downloaded in your apps.,Channels-Quality
Good,Application-Nice
Supar,Application-Nice
Nice,Application-Nice
Easy to operate,Application-Nice
🤬🤬,Application-Nice
Good,Application-Nice
You get latest movies here which you can't find on other OTT platform,Channels-Quality
Good,Application-Nice
👍,Application-Nice
Great App,Application-Nice
Super,Application-Nice
Nice,Application-Nice
Worst experience dont buy airte connection,Customer care-Poor Responsiveness
Nice web shows Super,Application-Nice
This app doesn't work in xstream box. I could not watch Maharani and Jahanabad on TV as it doesn't show in hindi language despite title is showing hindi language.,Channels-Quality
Very bad,Application-Nice
Netflix need,Application-Nice
very very bad app.,Application-Nice
It hangs a lot while using,Application-Nice
Best for cricket match,Application-Nice
Nice,Application-Nice
Good,Application-Nice
Super h,Application-Nice
Good,Application-Nice
Good,Application-Nice
Good,Application-Nice
Op yr,Application-Nice
Good,Application-Nice
Excellent,Application-Nice
Nice movie nice episode very excellent app,Application-Nice
Nice,Application-Nice
Great 👍,Application-Nice
Good app,Application-Nice
"Worst app I ever seen. No download option, No continues HD watching.",Application-Worst
Cool,Application-Nice
Nice app,Application-Nice
Very good,Application-Nice
Good app,Application-Nice
Nice,Application-Nice
Best app,Application-Nice
Nice,Application-Nice
Nice,Application-Nice
Good,Application-Nice
Excellent,Application-Nice
Average.,Application-Nice
Good platform ott,Application-Nice
Excellent💯👍👏,Application-Nice
Excellent,Application-Nice
"Very worst services airtel fiber internet & their customers care, engineer. Very chip committed to people's.",Application-Worst
Does not open this app,Application-Worst
Great,Application-Nice
Good,Application-Nice
Nyc app's jp dixit,Application-Nice
Bad Userface,Application-Worst
Good aap,Application-Nice
Bad app worst experience ever..too much adds ...doesn't work properly while live streaming..,Application-Worst
Super,Application-Nice
When this app be available on Samsung TV,Application-Worst
Loading issue during the half at every watch,Customer care-Poor Responsiveness
Mast hai bhai 👌👌,Application-Nice
The most worse app in the world 😏,Channels-Quality
"Good feel. UI could be a bit friendlier. It would be great if there was an option to ""log out of all devices"" option",Channels-Quality
Good,Application-Nice
Nice app,Application-Nice
Good,Application-Nice
Picture Quality doesn't apply. Lags also.,Channels-Quality
Very bad,Application-Nice
It is very nice 💜💜,Application-Nice
Useful APP. Great content,Application-Nice
Excellent,Application-Nice
Good,Application-Nice
I like this app,Application-Nice
Very bad experience.first time I can see all channnels but now I can only few channels..,Channels-Quality
"Number of bad apps within 10 minutes, 1 minute ad again and again.",Channels-Quality
"This app today I installed and its not opening,its KEEP STOPINGGGG",Channels-Quality
Why can't we have speed option like 1x 1.5x 2x 2.25x 2.5x 3x for Shark tank or any show. We all need that.,Channels-Quality
No option of subtitles in sony and others,Channels-Quality
Shark tank episode are not getting updated on the app after 25,Channels-Quality
Yet not the episodes after 25 are not updated on the app. Why I am not getting new episodes of Shark Tank on Sony LIV channel in your app? Kindly check and resolve,Channels-Quality
Third class service. Last night I bought the Disney+ pack of 199 still not activated even after money deducted. Wrote on Twitter and on mail . Still not working. Hopeless Pathetic company Airtel I will personally slap the man who owns it one thousand time.,Channels-Quality
"Video quality always low .... whether you set it medium,high or auto...plz fix this",Channels-Quality
I am very happy with Airtel Thanks app. Thanks to the team....,Application-Nice
Very good app for movies and tv shows,Application-Nice
Nice,Application-Nice
Dekho bhai sab channel free karo please 🥺,Customer care-Query Resolution
Very super,Application-Nice
"This is the best movie app I ever seen ,🤩I am soo happy to this",Application-Nice
Super,Application-Nice
Hi iam in abroad not work this application what can I do,Application-Worst
I always travel abroad for my job. Even when i am in abroad i recharge my airtel number to keep it alive and am being a customer for a long time. But this app doesn't work on abroad.,Packages-Paying without service
Super se upor,Application-Nice
Excellent,Application-Nice
Awesome,Application-Nice
Neither I can download nor I can cast even though it is in plan. And worst thing. It doesn't work on 4g network (12mbps) while other OTT works,Channels-Quality
Why will it not take my quality preference???,Channels-Quality
Jio TV is best app for all live channel free,Application-Nice
Good,Application-Nice
Jio provide free tv but you just want a recharge. When we recharge in Airtel we are unable to access tv channels via xstream. While as in jio itz free even after and before recharge. If u run out of data and recharge jio tv run smoothly. Kindly update ur system otherwise we have to switch to jio.,Packages-Paying without service
Good hmm,Application-Nice
Need more Hollywood movies. App is good.,Application-Nice
Good app,Application-Nice
Good,Application-Nice
Very nice,Application-Nice
"Takes more than 2 days to upload tv shows from the air time Very disgusting app. Update - WWE shows get uploaded the next day whereas 3 - 4 months earlier, it used to get uploaded within 3 hours of air time which is causing unimaginable embarrassment and anger to me. With these things, a 1 star is also too much as I dont have an option of 0 star",Application-Worst
Why we have to contact airtel digital tv if airtel xtream OTT activation is pending..,Packages-Paying without service
Awesome,Application-Nice
Good,Application-Nice
Bad app,Application-Worst
"Disappointed even after so many months, I don't see they improved other than bug fixes, live-tv option is not there in website, Now the cost of the plan in Rs-719. The feedback mail is not considered they will send a AI bot to tackle us. My point is provide quality of service to the customers or reduce the price",Channels-Quality
Very poor streaming quality compared to original oTT platforms,Application-Nice
How can i log out from all devices???,Application-Nice
Net neutrality matters,Application-Nice
👍,Application-Nice
very nice,Application-Nice
BEST APP,Application-Nice
Ok,Application-Nice
Awesome 👍,Application-Nice
Very good experience...,Application-Nice
👍😊,Application-Nice
Superb,Application-Nice
Very Good,Application-Nice
Good,Application-Nice
Fantastic. User Friendly. Great Entertainment! Keep It Up Team Airtel!,Application-Nice
DHAN GIRI,Application-Nice
Very good entertainment,Application-Nice
Good variety of movies and series to binge.,Application-Nice
It is a useless app I disapointed by this app,Application-Nice
Good 👍,Application-Nice
Open,Application-Nice
App improvements needed.,Application-Nice
"If network is not good how can someone use this app to watch movies and shows . Very poor network, i have 90 GB 3g 4g data but unable to use it as data speed is not good.Airlet talks much about 4G but the truth is that they are even unable to maintain 3G network.since last 1 year many complains has been raised regarding network and data speed issue but no action taken.going for MNP very soon",Channels-Quality
This one full entrainment good airtel namaste 🙏 👌,Application-Nice
Use before,Application-Nice
Ye app chl kyo nhi rha or isme shows download bhi nhi ho rhe please isko thik kre,Customer care-Query Resolution
Need more film,Packages-Paying without service
Fantastic,Application-Nice
App often shows issues with opening. Problem not solved after cleaning caches or reinstalling.,Application-Worst
Tdh,Application-Nice
Super,Application-Nice
Worst app,Application-Worst
Happy,Application-Nice
Awesome viewing experience,Application-Nice
Nice app Vary happy me,Application-Nice
Quality low with in high speed 😂 internet,Channels-Quality
Excellent,Application-Nice
Very bad,Application-Nice
Very good 👍,Application-Nice
Nyc app,Application-Nice
Good,Application-Nice
"POOR OFFERINGS ZEE5, VOOT, HUNGAMAPLAY, NOT AVAILABLE AT ALL.",Channels-Quality
Great app,Application-Nice
Goooooood,Application-Nice
Ssuoer,Application-Nice
Good,Application-Nice
Maghia bala app te 5minet video dekhi thiba ki ni add asuchi 20thara,Application-Nice
Best,Application-Nice
Good quality streaming,Application-Nice
Good,Application-Nice
Nice,Application-Nice
Its really xstream',Application-Nice
Good experience,Application-Nice
Worst...as you recharge they promise a lot with freebie Chanels but its just a fake as u will not get anything...just making fools....,Application-Worst
I was taking 1 mnth premium but in this app download is not enabled for me ... I am very upset 😭😭😭,Application-Worst
Jgg,Application-Nice
Super,Application-Nice
Pathetic app,Application-Nice
Very good App,Application-Nice
Nice,Application-Nice
Good,Application-Nice
"I took airtel broadband connection 5 days back from day 1, i am facing internet issues. I called customer support and raised the issue but no one contacted me till now. I called customer care several times but no use whenever i called they are telling will resolve in 24 hrs. I raised issue 48 hrs back. Pathetic service.",Customer care-Poor Responsiveness
Good,Application-Nice
Really awesome app,Application-Nice
Watse there is no live TV channels,Channels-Quality
Nice,Application-Nice
Best,Application-Nice
Glitchy app,Application-Nice
Thanks to airtel,Application-Nice
Wrost app,Application-Nice
Nice,Application-Nice
I am living at kanpur city but still net speed is 20 to 50 kbps....Is this is called airtel 4g???,Customer care-Poor Responsiveness
Very good 👍,Application-Nice
Nice on plz move to more new movies,Application-Nice
Mili recharge chesi chudala all ready net balance bokka mali recharge evaduraa petindi,Application-Nice
Good service,Application-Nice
best app,Application-Nice
Osm,Application-Nice
Great product,Application-Nice
Nice,Application-Nice
Amazing experience so far.,Application-Nice
The experience was good.,Application-Nice
Awesome,Application-Nice
Wonderful app..I just love it,Application-Nice
Nice,Application-Nice
"Thanks ❤❤, itni badiya",Application-Nice
So nic all shown on mobile phone & T v,Channels-Quality
Op,Application-Nice
Good,Application-Nice
"Worst experience,watching the first episode of faadu love story ,screen goes blurr in every minute",Application-Worst
Exceptional app,Application-Nice
Very nice,Application-Nice
Good,Application-Nice
Very good app 👍.Recently internet speed become 12mbps. Please look into the matter.,Application-Nice
Excellent,Application-Nice
Ok,Application-Nice
Airtel xtream android tv not showing zee channel And so much buggy laggy this application in my android mi tv.,Application-Worst
"Amazing gift, thanks",Application-Nice
It's very good experience,Application-Nice
Good,Application-Nice
"Charging to it's own customer, ridiculous",Application-Nice
Worsted app,Application-Nice
Good,Application-Nice
Fake app why should I pay extra pay watching Live Tata sky app is very good and best free channels all,Application-Nice
Good,Application-Nice
Good,Application-Nice
Good,Application-Nice
"Good, try to made it more easy",Application-Nice
Great,Application-Nice
nice,Application-Nice
By,Application-Nice
Nice xperience,Application-Nice
Subscribe channel গুলোর picture quality জঘন্য।,Channels-Quality
Good,Application-Nice
Nice,Application-Nice
Good app😊,Application-Nice
Ok,Application-Nice
Good app of movie 🍿🤩🤩🤩,Application-Nice
Good,Application-Nice
Airtel xstream app playback screen problem not solve watching episode & movie back button remove not showing app navigation bar after Update version 1.63.1 please fix this Issue Thank you team Airtel,Customer care-Query Resolution
Very nice,Application-Nice
I have a look at the moment. I have,Customer care-Poor Responsiveness
Nyc ott,Application-Nice
Useful,Application-Nice
Super quality pictures and super fast network I love Airtel,Application-Nice
I love this app very Airtel did very good job. but I have a problem I choosen Sony LIV app . I was watching shark tank i want to download the episode but there is no download option plz fix it . Download option not showing. Otherwise this app is 5 star 🌟,Application-Worst
Nice,Application-Nice
जिंदगी जीने का एक बेहतर अंदाज,Application-Nice
After seeing the reviews i am not downloading..,Application-Disconnection
Call connectivity extremely poor,Application-Nice
Awesooooomeeeeeeee!!!!!!!!,Application-Nice
Best 👌,Application-Nice
Best OTT app 👍,Application-Nice
Amazing,Application-Nice
Very 3rd class service,Application-Nice
Super,Application-Nice
Good,Application-Nice
Best'hai,Application-Nice
Nice ..,Application-Nice
Download option is not showing,Application-Worst
The app is not opening,Channels-Quality
Rest is ok. But please include the download option. There is no option to download content. Although there is a download section But not a download option is available,Channels-Quality
Super,Application-Nice
i love this app,Application-Nice
Good,Application-Nice
Needs some improvement,Application-Nice
Nice apps,Application-Nice
Worst app don't download it. Even if you get free too. Time waste.... It doesn't change video quality while we put in high quality also and playing video is full of lags.. even after update the app too..,Channels-Quality
Error in playing sonyliv video maharani please rectify your apps,Channels-Quality
Very nice app 👍,Application-Nice
I love you,Application-Nice
Awesome 👌,Application-Nice
Nice,Application-Nice
Excellent,Application-Nice
Now Good,Application-Nice
Entertaining and informational,Application-Nice
Good,Application-Nice
Being an airtel user why do we need to upgrade to airtel xstream premium?? Already recharged 299 per month mobile data plan😡😡😡😡... Other operators give free contents to their users🤬,Packages-Paying without service
Excellent app.,Application-Nice
Superb,Application-Nice
Very nice and beautiful app,Application-Nice
Superb app,Application-Nice
Wow exilante,Application-Nice
Bad experience,Application-Worst
Poor services,Application-Nice
बुरा हाल,Application-Nice
"While watching contents if you picked up a call then you can not use the entire screen, this app video will stock in your screen. And you have to reboot your phone. This happened with me like 3-4 times. Video quality is like 480p after selecting high video resolution. So dear team please try to fix it soon.",Channels-Quality
Very good,Application-Nice
Its a waste app. They provide this to you as a premium thing in Airtel Black but you hardly get any latest good movies on it. All are either on Prime video or Netflix. Hence no point of this app.,Application-Worst
Good,Application-Nice
Nice,Application-Nice
Super xstream and all old movie's available tq,Application-Nice
Good,Application-Nice
Good,Application-Nice
Very nice,Application-Nice
Very good osm,Application-Nice
Auto adjustment of clarity is not working properly while watching videos.,Channels-Quality
Videos are not playing smoothly. Very bad experience to watch Video in this app also few seconds of lag occuring while watching web series and movies.,Channels-Quality
Wao❤,Application-Nice
Exilent,Application-Nice
Super,Application-Nice
Good app,Application-Nice
Excellent,Application-Nice
Verynice and good experience,Application-Nice
Ok,Application-Nice
Super,Application-Nice
Nice,Application-Nice
Faltu application,Application-Nice
Good one application,Application-Nice
Too good,Application-Nice
Thank for showing me TMkoc every episode,Application-Worst
Good,Application-Nice
Osm app,Application-Nice
Kklgf Hhh Tyukktryjkkg Hhhhh it's bad,Application-Worst
Exlent,Application-Nice
Everything is fine for viewers,Application-Nice
Don't subscribe there quality is like 3gp,Channels-Quality
Good,Application-Nice
Good,Application-Nice
Why show ad in premium subscription. I hate Airtel sim card & other applications very bad customer service very bad 😞 .,Application-Nice
Quite useful,Application-Nice
It's nice to have all those OTT channels in one place,Application-Nice
Good,Application-Nice
Thank you,Application-Nice
Super,Application-Nice
nice and good app,Application-Nice
No clear offers,Application-Nice
Faltu app hai... Koi main stram channels nhi aate ....bikhari hai saale ....itni badi telecom company hai ....par saalo ki mass ache channels kharid ne ka paisa nhi hai ....Bhen ke lode saale !,Channels-Quality
Wonderful baby,Application-Nice
Good app.,Application-Nice
Best👍,Application-Nice
Op,Application-Nice
Not the best movies but still a good database and wide varities of channels to choose from.... 3rd star for adding Chaupal channel.... Some awesome Punjabi movies,Application-Nice
Good,Application-Nice
Love itt,Application-Nice
Very nice to Odia series..,Application-Nice
👍👍👍,Application-Nice
One of the best apps in 2023,Channels-Quality
Good job 👌,Application-Nice
Good app,Application-Nice
Excellent 👌☺️,Application-Nice
So nice,Application-Nice
Very nice 👍,Application-Nice
🤐😭😰😨,Application-Nice
"what's the point of giving video quality button if it's don't work even after selecting high quality it won't change the quality it automatically work on low, High quality option don't work",Channels-Quality
Some films are available only in hindi .. even not in its original language. If that is rectified then its amazing,Channels-Quality
Lots of Ads every time,Application-Disconnection
Why on earth you people changed the live tv interface???? Now can't see the list nor the desired hd channels,Channels-Quality
why new ep of sharktank not showing there? Edit: now solved..,Channels-Quality
Nice,Application-Nice
Great app,Application-Nice
something went wrong.getting from last two days.get hire good IT Team to resolve.,Application-Nice
Very nice app,Application-Nice
Beid,Application-Nice
Need fast updates of films,Channels-Quality
"When I got call from anyone,screen gone black,ui not showing,very sad devops team.",Application-Worst
Great app for all entertainment,Application-Nice
Excellent,Application-Nice
Nice,Application-Nice
😍😍,Application-Nice
Good,Application-Nice
Best aap,Application-Nice
Not interested,Application-Worst
Fast aps,Application-Nice
Excellent,Application-Nice
Awesome,Application-Nice
A person can't watch in lower data impossible in this application. Why the hell you guys force someone to watch on 480s . 2gb data barely sustains for 3 hours.,Customer care-Poor Responsiveness
Super,Application-Nice
Worst of the worst. Jio is a lot better.,Customer care-Poor Responsiveness
Good app,Application-Nice
It's too imagine app.,Application-Nice
"Hate the app, just got frustrated, It's been 3 days since I'm unable to play the any video it is buffering only no error, I write the email also, and FYI my internet is good. I'm using tha plan which comes with Airtel recharge.",Channels-Quality
Bad service,Application-Nice
Good,Application-Nice
Very nice,Application-Nice
Good,Application-Nice
Names,Application-Nice
Good,Application-Nice
Lovely platform airtel xstream,Application-Nice
Great,Application-Nice
Good,Application-Nice
App is fully entertainment,Application-Nice
Not even willing to give 1 star. Blank screen comes more than movie. And no one will be half wise. I watch movie from wifi,Application-Worst
Good,Application-Nice
Good,Application-Nice
Nice,Application-Nice
This is worst i subscribed for a single channel but after two days that channel is not only there they have removed it,Customer care-Poor Responsiveness
Excellent very good app,Application-Nice
excellent,Application-Nice
Good,Application-Nice
Best experience with xstream app.,Application-Nice
Good very good👍,Application-Nice
Fentastic 👍,Application-Nice
Nice app,Application-Nice
Awesome,Application-Nice
Nice,Application-Nice
Nice,Application-Nice
Previous tv serials not showing,Application-Worst
Good,Application-Nice
Poor interface,Application-Nice
Op,Application-Nice
This is a very good app ia mvery impress,Application-Nice
Good app,Application-Nice
This app is very useful to me And when we bore we use this app entertainment our family,Application-Nice
Battery draining alot,Application-Nice
Amazing,Application-Nice
Its great,Application-Nice
Nice app,Application-Nice
Nice but all live chennel not shown free only Airtel user must have all xream chennel free,Packages-Paying without service
Having fun❣️😎🤘,Application-Nice
Nice,Application-Nice
Goid,Application-Nice
Good,Application-Nice
"1.English subtitles or Hindi audio is unavailable in some Tamil , Telegu or Malayalam movies showing in Sony LIV channel under airtel Xtreme.",Application-Worst
Best,Application-Nice
I'm So Happy,Application-Nice
Excellent,Application-Nice
"Worst customer experience. I have been trying to get my connection shifted to my new place, they are not taking any action since one week. Whenever I am calling to customer service they are cancelling previous request and raising a new one. Highly recommend not to use Airtel fiber. Instead go for local fiber network. I would have given negative star, if there was an option for that.",Application-Worst
Mast app hai,Application-Nice
Nice app,Application-Nice
Good,Application-Nice
Ok,Application-Nice
👌👌,Application-Nice
Best,Application-Nice
No experience,Application-Nice
Very good,Application-Nice
Good app,Application-Nice
Bangladesh,Application-Nice
Excellent app by airtel,Application-Nice
"Learn something from Jio Tv , it's better in every way for viewing content or using the app as whole",Application-Worst
Super app,Application-Nice
Best app,Application-Nice
Good,Application-Nice
Good,Application-Nice
Super,Application-Nice
Experience is wonderful watching channel in good video quality,Application-Nice
Awesome,Application-Nice
nice,Application-Nice
Gud,Application-Nice
Good app 👌,Application-Nice
Nice....,Application-Nice
Very good app,Application-Nice
Excellent,Application-Nice
Awesome experience on Sonylive as far as entertainment is concerned. You are simply unmatched....,Application-Nice
Nice,Application-Nice
I am full enjoy the movie's,Application-Nice
Very good connectivity. Nice speed for download.,Application-Nice
Nice,Application-Nice
Amazing,Application-Nice
Many Channels are not Available.,Channels-Quality
Very nice,Application-Nice
Good,Application-Nice
Awesome,Application-Nice
Great,Application-Nice
The worst service and not fulfilled commitment,Application-Worst
Loving it,Application-Nice
Good,Application-Nice
Ok,Application-Nice
.pjlllk op o🐔🌴🌪️🏵️🍃🍃🍃🏵️🍃🍃🪨,Application-Nice
Good,Application-Nice
Lots of fun and entertainment,Application-Nice
Okkkkkkkkkk,Application-Nice
Awesome,Application-Nice
Best aap providing best experience with Sony LIV,Application-Nice
Jahanabad from sony liv Keep Rolling but not working,Application-Worst
Very nice,Application-Nice
Very bad app because for any vide it's take charge high costly YouTube better than this app,Application-Worst
Super,Application-Nice
👌,Application-Nice
👍💫,Application-Nice
Worst. I was expecting better from Airtel the video quality remains same at low even if you have selected high quality.,Channels-Quality
Worst app,Application-Worst
Good,Application-Nice
I cannot claim my rewards for taking up Fibernet 200 Mbps for which some 15 OTT access was promised. Nor is there any procedure for how to activate it.,Application-Worst
Good,Application-Nice
Tha aap is right but some new movies are not avilebal,Channels-Quality
Good,Application-Nice
Colors channel not available. And in India colors is compulsory..,Channels-Quality
Worst,Application-Worst
Good experience with Airtel x stream,Application-Nice
Good,Application-Nice
Ok,Application-Nice
Big,Application-Nice
Great 👍,Application-Nice
Good,Application-Nice
Okkey but a LOT of improvement needed..... 1. Highest video quality should be 4k. It is not even seem to be 1080p. 2. Main problem is there is no download option in Mobile App version. 3. Regional channels do ñot have subtitles.,Channels-Quality
Good,Application-Nice
Good apss,Application-Nice
"This is very poor connection, Wi-Fi not working lust one month, after giving complain continuashly, but not solve.",Application-Worst
Great apps,Application-Nice
Nice,Application-Nice
"It is the most useless app, not even a single channel runs properly and premium has to be taken, even after that they are asking to download bsdk sony live, what is the use of such an app which is not useful, delete it all.",Channels-Quality
Good,Application-Nice
Nice,Application-Nice
Pathetic experience,Application-Nice
Shankitha email@com,Application-Nice
1.Recording is chargeable monthly. 2.They close all ott services if subscription expires............ Other things are Okay,Customer care-Poor Responsiveness
Excellent,Application-Nice
Love it,Application-Nice
👌👌👌👌,Application-Nice
Awesome app,Application-Nice
Best,Application-Nice
Good,Application-Nice
Worst app,Application-Worst
To good,Application-Nice
❤️❤️,Application-Nice
Very Good,Application-Nice
Exhilarating...,Application-Nice
Best ott app ever,Application-Nice
Streaming quality is not good While Singh movie I am finding green screen,Channels-Quality
"Episode not loaded in real time , have premium subscription but unable to watch sharktank 2 . Please check airtel team",Packages-Paying without service
Good app,Application-Nice
Very nice,Application-Nice
Marvelous,Application-Nice
Good,Application-Nice
Good experience 🙌,Application-Nice
Worstttt app just making idiot to user not expected Airtel worsttt only show's add in live,Application-Worst
Supar.aap,Application-Nice
Nice app,Application-Nice
Doesn't have a option to manage logged in devices,Channels-Quality
👌👌👌👌👌👌,Application-Nice
Kapil sharma show latest episodes not available. This is considered as misguiding cheating. Don't auto charge me next year.,Customer care-Query Resolution
Great👍💐💐,Application-Nice
Good,Application-Nice
New episodes Of Kapil Sharma show and Maharashtra chi hasya jatra is not getting to watch same day.please fix this,Customer care-Query Resolution
I cannot watch movies in HD and it's not working suddenly,Channels-Quality
Nice,Application-Nice
Great app,Application-Nice
Not bad,Application-Worst
एयरटेल 4G सर्विस बहुत घटिया है।,Application-Nice
Uselesss not sound okk and picture quality not okkk,Channels-Quality
Good,Application-Nice
Very nice application...I like it....easy to use...,Application-Nice
Nice entertainment app,Application-Nice
Good experience,Application-Nice
Good,Application-Nice
Good app,Application-Nice
nice,Application-Nice
None of the video is Playing properly. It interrupted alot. Quality of video not good.,Channels-Quality
Wonder ful,Application-Nice
Superb experience,Application-Nice
Very nice app,Application-Nice
Nice to app,Application-Nice
Awesome 👌,Application-Nice
Bug plz sl,Application-Nice
Good,Application-Nice
"Facing issue with logging in. ""Authentication failed, Please try again!!"" Is the message I get everytime.",Channels-Quality
😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋,Application-Nice
The app is not getting opened in my phone.,Application-Worst
Good,Application-Nice
Best app enjoyed it,Application-Nice
"Good app. 2 stars less because plan does not contain appropriate chanels. It does not give mostly needed chanels like hotstar, Amazon prime, Netflix...etc. fir gold plan.",Channels-Quality
Not working tv,Application-Worst
Pathetic trashcan. Alway ask purchase subscription of different ott. If I have to purchase the subscription then what is the use of this app.,Customer care-Poor Responsiveness
"I want one year subscription of Amazon prime, Sony LIV , Disney plus hotstar in one plan . Please think about it.",Application-Worst
Great app to watch live tv okk 👍,Application-Nice
Thank you,Application-Nice
👌,Application-Nice
😘,Application-Nice
Excellent,Application-Nice
Very good application for the costumers,Application-Nice
Good,Application-Nice
Bead,Application-Nice
Super 💕,Application-Nice
All shows from Sony LIV are not in the app,Channels-Quality
Good,Application-Nice
Useless as other airtel stuff. Update2: you will never find the latest Sony LIV content on the xstream app. Everything shows up the next day.,Customer care-Poor Responsiveness
Good,Application-Nice
Best for the airtel xstream app,Application-Nice
Best,Application-Nice
Valo law,Application-Nice
good,Application-Nice
Good,Application-Nice
"Sir, please add travel xp hd in dth plateform I'm waitting for long time hope you add this channel very soon thank you...",Application-Worst
"Previously, not long ago all the popular channels were free, but alas now NOT.",Channels-Quality
Two year's,Application-Nice
Good service from Airtel Xtreme,Application-Nice
I feel Sometimes video quality is not good .,Channels-Quality
Superb app not in between nice thank to u Airtel love u,Application-Nice
👍,Application-Nice
Very good app,Application-Nice
Good,Application-Nice
👍 good,Application-Nice
We dont have option download movies. After paying 149/- monthly subscrition charges. Dont have option to download movies in lionsgate.,Channels-Quality
The application load issues doesnt load even on wifi 5g. Poor experience,Channels-Quality
High speed internet I have also app will take more time to open,Application-Worst
Jin ke setup box mai jo channel activate hai vahi channel isi app me vahi channel chalne chahiye,Channels-Channel Navigation
Super,Application-Nice
The back button annoys me,Application-Nice
"It's very nice,entertaining app",Application-Nice
Good,Application-Nice
"Last time this app is not working, so many times I tried to open it. But now its okey.",Application-Worst
Good,Application-Nice
Download option missing,Customer care-Query Resolution
Good,Application-Nice
Awesome experience,Application-Nice
Super,Application-Nice
Nice aap,Application-Nice
Best,Application-Nice
Gud,Application-Nice
excellent.....one of the plateform u enjoy too much....,Application-Nice
Good,Application-Nice
recharge says premium subscription after recharge still shows no active plans even after claiming it ...worst,Application-Disconnection
"Overall nice experience, keep going up..!!",Application-Nice
Good,Application-Nice
Please improve loading video,Customer care-Query Resolution
Good,Application-Nice
Whenever I try to reduce video quality it always play with same high quality and consume a lot of internet data.,Channels-Quality
How can i download movie?,Application-Nice
Video player should be more good and have some more good features like other OTT have,Application-Nice
I like this app,Application-Nice
unable to watch after having recharge on Airtel,Application-Disconnection
Good app,Application-Nice
Good,Application-Nice
Even after giving money not receiving the latest episode of all shows of the particular subscription,Channels-Quality
Bekar,Application-Nice
Good app for entertainment,Application-Nice
Live tv with cast to tv not working,Application-Worst
Good,Application-Nice
Super,Application-Nice
Good,Application-Nice
Good,Application-Nice
Give more free Dish channels,Packages-Paying without service
All movie prime Aisi app ka ham kya karenge,Application-Nice
Very good,Application-Nice
There are no avtar way of water,Channels-Quality
Jay mahakal,Application-Nice
Please open your channel,Application-Worst
Nice,Application-Nice
Worst customer service Cheated a lot of money,Application-Worst
Live tv option in smart tv not available,Application-Worst
Excellent,Application-Nice
Good apps,Application-Nice
"Heyyyyyyyyyy airtel xstream I wanted to tell you that. There are not all tv shows like colours, star plus , Sony Live and Hungama, Disney channel, pogo cartoon network and so on. Which I want to see earlier there was some shows which I like but now there is no show which I like . My request is to add these channel which I suggested in above and I am not happy to give you any star but then also I am giving you two star because earlier you made me happy now also made me happy by adding tv shows.",Channels-Quality
It's a good app.,Application-Nice
"Why shark tank India episodes after episode 20 are not updating,Is there any issue with the server?Please fix it. Thanks for fixing the above. I am an Airtel xtreme fiber user ,since apps premium comes under my package but why you are still asking to subscribe @149/month. Please fix up these bugs as they are impacting users like me hightime.",Customer care-Poor Responsiveness
Nice app,Application-Nice
Nice,Application-Nice
"Fake subscription offers providing with reacharge and there is nothing in subscription while opening app showing please get subscription ,,why are you guys makeing your costumer fool and confusing then by giving such a fake reacharge offers ,, there is nothing free no any channel free with reacharge, so many customers will stop using Airtel services bcz of this fake offers",Channels-Quality
Nice...,Application-Nice
Very good 🙂,Application-Nice
Good,Application-Nice
SONY LIVE LATEST EPISODE NOT SHOW IN XTREAM APP VERY DISSAPOINTED LIKE ALIBABA DAASTAN E KABUL TODAY RELEASED ALREADY IN SONY LIV SEPRATE APP BUT IN XTREAM APP NOT SHOW LATEST EPISODE very dissapointed bad app,Application-Worst
"This application is truly awesome for watching series, shows & Movies",Application-Nice
Good,Application-Nice
This is worst app App open timing is very high,Application-Worst
Fraud app. All purchases. I bought 1 month 499 plan just to get sony liv access in airtel xtream. But when I try to access it says buy premium at 150. Total fraud by airtel. I have also mailed the issue to airtel support but no response. Please don't buy any plan that says you will get Airtel Xtreme,Application-Worst
Nice,Application-Nice
Ukhy,Application-Nice
Good,Application-Nice
It runs in the background,Channels-Quality
The picture is of poor quality,Channels-Quality
While trying to play a movie error showing multiple times,Application-Worst
Best app in the world 🌎 love you Airtel,Application-Nice
Best app but please give me reply😽💞😘🥰,Application-Nice
Excellent,Application-Nice
Lot's of ads I'm porting sim to jio now,Application-Disconnection
Very good app for entertainment.,Application-Nice
nice 😍😍,Application-Nice
So good,Application-Nice
Excellent,Application-Nice
Best 👍 video quality,Channels-Quality
Best,Application-Nice
👍,Application-Nice
"No option/ won't install, show's your (redmi) device is incompatible. Seriously! It's new lows, as it is the app is monetising content so primitive it should be technically free by now but instead such scheming practices.",Channels-Quality
Thanks for customer support Airtel Xtreme.,Application-Nice
Awesome 👍🏻,Application-Nice
